PM 2.5,WD
96.38,288.46
64.08,286.12
92.86,275.88
88.83,246.67
48.76,263.85
75.19,236.06
80.82,300.49
96.13,171.17
54.4,258.17
53.79,162.7
44.45,102.07
49.31,265.48
107.29,233.53
181.71,273.52
175.2,263.6
222,271.08
164.72,215.09
131.86,204.25
89.52,152.03
82.61,228.61
97.62,253.62
72.13,226.79
89.31,123.85
84.98,174.11
68.8,150.07
90.88,221.06
60.1,177.88
63.5,158.13
70.11,132.19
51.6,172.15
52.04,112.71
56.03,135.59
52.06,146.94
82.55,143.12
97.67,253.03
28.11,197.54
47.21,80.46
58.97,100.33
38.08,142.92
33.51,175.68
121.58,290.87
51.71,301.34
38.47,269.8
76.83,268.99
57.38,209.82
27.94,194.84
17.34,189.35
24.24,183.25
56.22,200.2
37.69,119.24
68.71,182.34
88.11,159.1
107.25,117.75
51.97,155.75
49.48,233.9
68.1,235.49
84.57,277.78
54.34,275.3
58.12,163.56
39.82,156.9
39.04,160.43
41.04,206.96
41.99,151.09
32.07,214.68
41.3,124.99
63.31,96.26
29.16,128.33
36.81,85.2
30.98,58.04
51.01,100.28
51.48,184.8
81.12,214.03
59.77,151.43
70.07,156.47
49.35,157.05
79.71,149.22
71.35,175.65
85.67,242.35
61.31,284.9
47.46,270.08
58.78,260.49
38.97,204.4
90.8,200.5
49.9,231.88
42.58,295.4
53.69,285.38
44.18,238.91
48.02,135.36
37.14,134.94
47.13,148.95
37.22,152.45
36.42,124.83
46.23,90.48
46.46,75.05
52.83,102.18
58.66,190.66
42.98,158.21
21.03,169.06
41.81,135.35
47.55,113
31.12,90.23
42.98,90.24
78.07,108.64
54.33,249.31
66.06,241.01
46.56,155.79
20.69,105.53
27.98,115.12
37.03,148.48
37.14,198.24
46.26,158.16
49.1,193.44
38.61,179.42
38.67,202.15
56.56,187.91
31.91,179.27
51.44,200.88
59.43,177.98
50.59,203.93
46.76,83.56
29.74,58.93
25.99,73.88
29.06,64.58
27.3,81.31
None,None
33.37,104.58
49.26,104.5
59.89,99.81
97.06,170.65
38.36,229.09
29.4,200.15
41.69,272.2
45.55,164.41
69.53,121.06
58.2,208.38
27.75,234.43
42.08,227.68
70.21,232.77
71.01,248.83
27.28,206.58
33.23,198.29
36.45,153.8
43.67,187.43
30.36,184.08
47.99,189.25
53.01,214.77
103.87,189.98
52.72,232.01
31.16,238.9
38.92,228.1
49.78,235.93
33.44,208.38
51.53,181.12
42.29,173.15
30.86,160.99
29.44,249.22
30.66,110.49
24.91,24.37
42.67,53.87
46.15,24.11
41.67,18.39
37.43,23.63
42.61,13.31
30.36,51.07
29.93,117.19
48.72,103.55
57.65,115.48
71.9,107.27
60.69,89.05
45.44,99.74
41.96,114.09
72.61,119.14
70.68,115.32
46.49,115
32.98,101.97
48.78,94.7
52.36,111.07
63.88,111.95
81.88,97.21
78.36,103.04
77.95,109.94
73.88,97.66
77.42,108.48
93.44,91.22
77.01,81.96
100.25,94.01
191.79,99.76
164.51,138.11
10.39,149.57
56.04,119.36
121.52,110.09
78.78,84.17
67.53,84.82
88.73,98.27
52.21,103.56
40.54,105.49
73.16,104.61
149,96.94
133.34,99.22
164.74,99.51
132.77,87.22
160.15,89.4
209.56,81.16
160.25,87.87
191.81,92.79
349.76,106.07
458.02,112.88
351.91,85.27
339.62,80.07
301.24,78.32
308.99,80.79
239.01,87.04
355.96,93.04
379.25,89.75
281.46,76.44
216.44,58.07
239.69,66.99
279.69,59.2
257.93,56.17
207.79,63.72
247.6,58.84
255.29,58.86
200.21,125.81
148.04,336.19
167.79,255.88
332.49,207.45
292.36,117.79
320.07,82.06
270.92,39.33
285.38,47.36
204.83,169.98
164.22,220.64
306.13,32.71
271.01,59.85
221.23,51.18
178.2,36.56
205.33,48.37
144.08,70.33
103,53.76
116.58,252.07
191.98,219.41
162.52,250.32
133.23,289.34
160.14,244.93
240.9,229.56
232.79,216.16
181.59,258.93
234.57,305.05
160.61,324.29
140.9,170.36
163.71,42.9
195.2,47.54
296.33,43.71
316.92,47.82
466.48,15.22
392.19,6.55
380.08,9.69
405.49,11.22
95.72,28.69
147.69,29.31
136.52,24.14
162.55,38.03
201.91,39.86
243.77,42.82
311.92,36.23
293.83,20.78
264.72,7.87
307.35,19.42
134.88,29.15
80.12,71.89
66.98,15.29
37.41,20.71
71.35,15.22
69.42,15.51
95.14,19.83
171.33,18.61
130.75,19.06
94.2,18.8
133.61,7.19
192.48,6.97
163.1,12.19
176.3,20.98
253.73,11.26
193.04,27.36
145.45,73.18
86.34,55.03
91.17,32.3
83.15,27.62
117.29,27.41
99.28,31.71
79.58,32.39
109.28,47.06
113.48,53.19
223.29,38.66
167.95,48.58
156.1,26.57
132.66,13.92
51.14,9.07
75.16,5.66
124.97,18.16
157.82,8.48
137.93,8.49
91.61,28.88
74.2,17.13
65.56,41.54
80.01,34.69
126.46,12.32
114.2,9.83
86.19,7.04
119.51,21.66
91.4,16.52
99.85,14.39
51.46,25.63
63.07,39.11
66.77,36.04
105.47,29.7
99.59,29.27
123.67,36.44
103.88,22.93
22.06,30.09
26.58,7.38
32.4,13.73
64.26,9.84
99.77,7.34
67.38,10.37
62.68,15.21
40.94,46.07
67.53,23.86
120.07,16.92
93.85,77.71
