PM 2.5,WD,Direction
159.56,273.43,W
157.77,325.36,NW
119.68,312.21,NW
166.28,272.95,W
242.53,229.15,SW
293.6,196.62,SSW
395.77,135.67,SE
122.34,230.04,SW
85.45,308.68,NW
118.89,301.45,WNW
162.1,255.8,WSW
224.13,261.77,W
296.33,249.7,WSW
251.78,272.29,W
234.29,246.95,WSW
342.3,187.91,S
320.38,150.88,SSE
282.34,228.49,SW
289.54,275.75,W
239.0,186.6,S
213.26,281.09,W
156.16,234.12,SW
197.94,188.75,S
298.46,194.35,SSW
121.92,255.6,WSW
105.77,187.92,S
141.17,245.41,WSW
117.82,318.31,NW
149.84,320.79,NW
157.96,320.23,NW
164.88,306.42,NW
216.4,308.11,NW
231.75,253.53,WSW
375.5,216.53,SW
353.08,234.2,SW
337.79,200.88,SSW
229.6,236.43,WSW
253.85,263.8,W
284.23,224.31,SW
107.18,256.57,WSW
141.72,327.9,NNW
175.21,273.33,W
285.54,242.85,WSW
518.24,149.76,SSE
440.29,151.86,SSE
194.07,138.65,SE
113.35,155.6,SSE
97.53,95.41,E
134.71,184.38,S
120.5,197.4,SSW
161.29,180.07,S
149.67,313.32,NW
125.0,333.89,NNW
126.01,324.26,NW
177.55,284.29,WNW
195.33,258.71,WSW
250.14,229.03,SW
549.8,233.38,SW
218.45,239.73,WSW
264.24,126.95,SE
268.43,171.04,S
239.74,305.19,NW
156.46,310.15,NW
181.7,296.07,WNW
314.76,165.05,SSE
186.3,170.6,S
164.2,187.32,S
225.79,235.32,SW
187.54,291.65,WNW
274.96,199.24,SSW
201.5,286.05,WNW
186.72,298.65,WNW
274.1,216.71,SW
335.5,170.04,S
285.42,208.25,SSW
220.74,154.13,SSE
182.02,69.47,ENE
71.95,194.35,SSW
95.8,267.91,W
145.49,301.92,WNW
199.19,283.62,WNW
220.88,233.04,SW
232.04,209.48,SSW
170.65,222.17,SW
253.77,223.41,SW
180.18,185.56,S
167.84,239.59,WSW
194.11,239.51,WSW
177.01,241.39,WSW
158.46,235.96,SW
150.96,217.45,SW
175.35,260.28,W
130.78,287.92,WNW
184.88,302.93,WNW
152.1,263.59,W
139.35,262.91,W
177.99,238.87,WSW
164.9,270.99,W
119.71,280.8,W
98.5,217.99,SW
70.8,214.42,SW
79.9,293.99,WNW
75.8,326.28,NNW
95.7,305.13,NW
151.48,219.81,SW
111.58,298.14,WNW
99.93,297.41,WNW
158.28,151.92,SSE
118.62,150.81,SSE
156.42,150.7,SSE
63.05,240.78,WSW
130.41,218.53,SW
101.28,152.13,SSE
137.11,212.22,SSW
98.42,314.23,NW
107.42,306.88,NW
99.76,329.67,NNW
114.39,239.26,WSW
115.19,242.07,WSW
